Gender,Age,Height_cm,Weight_kg,Body_Type,Goal,Daily_Calories,Protein_g,Carbs_g,Fats_g,Breakfast,Lunch,Dinner,Snacks
Male,34,173,94,Ectomorph,Lean Bulk,2042,176,255,56,Oats with Milk,Curd Rice,Vegetable Stir Fry,Boiled Eggs
Male,36,173,89,Ectomorph,Lean Bulk,2073,167,259,57,Paneer Paratha,"Roti, Sabzi & Dal",Khichdi,Peanut Chaat
Female,52,163,98,Ectomorph,Fat Loss,1967,187,245,54,Poha,Rajma Chawal,Roti & Paneer Curry,Protein Shake
Male,21,185,82,Ectomorph,Fat Loss,2899,138,362,80,Vegetable Upma,"Roti, Sabzi & Dal",Fish Curry with Rice,Fruit Bowl
Male,55,181,55,Endomorph,Maintenance,1913,102,239,53,Poha,Curd Rice,Fish Curry with Rice,Protein Shake
Male,53,179,93,Mesomorph,Fat Loss,1844,170,230,51,Idli & Sambar,Chicken Curry with Rice,Vegetable Stir Fry,Fruit Bowl
Male,45,172,94,Ectomorph,Fat Loss,1923,203,240,53,Idli & Sambar,Curd Rice,Roti & Paneer Curry,Boiled Eggs
Female,29,158,99,Endomorph,Fat Loss,2660,180,332,73,Paneer Paratha,Curd Rice,Fish Curry with Rice,Peanut Chaat
Male,52,158,91,Mesomorph,Lean Bulk,2165,199,270,60,Paneer Paratha,"Roti, Sabzi & Dal",Grilled Chicken & Veggies,Roasted Chana
Male,19,169,79,Endomorph,Fat Loss,2915,146,364,80,Paneer Paratha,Chicken Curry with Rice,Grilled Chicken & Veggies,Peanut Chaat
Female,27,167,62,Endomorph,Lean Bulk,1865,129,233,51,Paneer Paratha,"Roti, Sabzi & Dal",Roti & Paneer Curry,Roasted Chana
Male,22,156,88,Ectomorph,Maintenance,1899,153,237,52,Idli & Sambar,Curd Rice,Fish Curry with Rice,Roasted Chana
Male,21,158,82,Mesomorph,Lean Bulk,2979,146,372,82,Poha,Rajma Chawal,Grilled Chicken & Veggies,Boiled Eggs
Male,51,164,76,Mesomorph,Maintenance,1924,146,240,53,Poha,Chicken Curry with Rice,Fish Curry with Rice,Protein Shake
Female,21,172,91,Endomorph,Maintenance,2874,163,359,79,Paneer Paratha,Curd Rice,Grilled Chicken & Veggies,Boiled Eggs
Female,29,184,80,Ectomorph,Lean Bulk,2415,169,301,67,Oats with Milk,Curd Rice,Roti & Paneer Curry,Protein Shake
Female,44,185,83,Ectomorph,Maintenance,2297,145,287,63,Vegetable Upma,"Rice, Dal & Veg Curry",Fish Curry with Rice,Boiled Eggs
Male,52,162,53,Mesomorph,Maintenance,1880,112,235,52,Oats with Milk,"Roti, Sabzi & Dal",Vegetable Stir Fry,Roasted Chana
Female,31,171,69,Ectomorph,Lean Bulk,2189,150,273,60,Idli & Sambar,Curd Rice,Grilled Chicken & Veggies,Protein Shake
Male,43,165,85,Mesomorph,Maintenance,2579,159,322,71,Vegetable Upma,Rajma Chawal,Khichdi,Boiled Eggs
Female,47,156,96,Mesomorph,Maintenance,2216,174,277,61,Paneer Paratha,"Rice, Dal & Veg Curry",Vegetable Stir Fry,Roasted Chana
Male,19,166,85,Endomorph,Fat Loss,2655,151,331,73,Oats with Milk,Rajma Chawal,Grilled Chicken & Veggies,Peanut Chaat
Male,49,185,91,Endomorph,Maintenance,2327,187,290,64,Paneer Paratha,Curd Rice,Fish Curry with Rice,Roasted Chana
Female,28,158,96,Endomorph,Maintenance,2176,206,272,60,Poha,"Rice, Dal & Veg Curry",Vegetable Stir Fry,Fruit Bowl
Male,21,150,76,Ectomorph,Fat Loss,2273,124,284,63,Oats with Milk,"Rice, Dal & Veg Curry",Grilled Chicken & Veggies,Protein Shake
Female,41,153,89,Endomorph,Fat Loss,2789,177,348,77,Idli & Sambar,"Rice, Dal & Veg Curry",Vegetable Stir Fry,Protein Shake
Female,18,151,83,Endomorph,Maintenance,2897,181,362,80,Idli & Sambar,"Roti, Sabzi & Dal",Fish Curry with Rice,Roasted Chana
Male,24,183,59,Ectomorph,Lean Bulk,2878,103,359,79,Vegetable Upma,Rajma Chawal,Fish Curry with Rice,Fruit Bowl
Female,43,179,86,Ectomorph,Fat Loss,2262,153,282,62,Idli & Sambar,"Rice, Dal & Veg Curry",Roti & Paneer Curry,Peanut Chaat
Female,42,185,80,Ectomorph,Fat Loss,1819,161,227,50,Idli & Sambar,Curd Rice,Fish Curry with Rice,Boiled Eggs
Male,51,152,64,Ectomorph,Fat Loss,2960,120,370,82,Idli & Sambar,"Rice, Dal & Veg Curry",Khichdi,Protein Shake
Male,29,170,51,Ectomorph,Fat Loss,2095,104,261,58,Paneer Paratha,"Rice, Dal & Veg Curry",Khichdi,Roasted Chana
Male,54,174,93,Endomorph,Maintenance,2586,190,323,71,Oats with Milk,"Rice, Dal & Veg Curry",Vegetable Stir Fry,Boiled Eggs
Male,24,177,64,Ectomorph,Maintenance,2612,139,326,72,Vegetable Upma,"Rice, Dal & Veg Curry",Khichdi,Peanut Chaat
Female,32,172,85,Mesomorph,Maintenance,2180,170,272,60,Paneer Paratha,"Rice, Dal & Veg Curry",Vegetable Stir Fry,Boiled Eggs
Male,22,155,67,Ectomorph,Maintenance,2115,136,264,58,Vegetable Upma,Rajma Chawal,Roti & Paneer Curry,Fruit Bowl
Male,37,178,73,Mesomorph,Lean Bulk,2071,120,258,57,Paneer Paratha,Curd Rice,Vegetable Stir Fry,Protein Shake
Female,24,151,55,Mesomorph,Fat Loss,1990,107,248,55,Vegetable Upma,Curd Rice,Roti & Paneer Curry,Boiled Eggs
Female,42,155,96,Endomorph,Lean Bulk,2971,183,371,82,Paneer Paratha,Chicken Curry with Rice,Grilled Chicken & Veggies,Boiled Eggs
Female,35,181,59,Ectomorph,Lean Bulk,2690,104,336,74,Vegetable Upma,Curd Rice,Roti & Paneer Curry,Boiled Eggs
Female,33,190,81,Endomorph,Fat Loss,2200,151,275,61,Oats with Milk,Rajma Chawal,Roti & Paneer Curry,Peanut Chaat
Female,42,171,78,Mesomorph,Maintenance,2078,138,259,57,Poha,Chicken Curry with Rice,Fish Curry with Rice,Boiled Eggs
Male,43,170,68,Endomorph,Fat Loss,2805,148,350,77,Oats with Milk,Rajma Chawal,Fish Curry with Rice,Boiled Eggs
Female,41,157,86,Ectomorph,Fat Loss,2917,146,364,81,Poha,"Rice, Dal & Veg Curry",Fish Curry with Rice,Roasted Chana
Female,36,154,100,Mesomorph,Fat Loss,2822,168,352,78,Vegetable Upma,Chicken Curry with Rice,Khichdi,Roasted Chana
Female,42,154,78,Endomorph,Maintenance,2992,143,374,83,Poha,Curd Rice,Vegetable Stir Fry,Fruit Bowl
Female,52,188,90,Ectomorph,Lean Bulk,2308,179,288,64,Vegetable Upma,Chicken Curry with Rice,Vegetable Stir Fry,Fruit Bowl
Female,39,177,56,Ectomorph,Lean Bulk,2329,97,291,64,Poha,"Roti, Sabzi & Dal",Vegetable Stir Fry,Protein Shake
Male,46,173,75,Mesomorph,Fat Loss,2824,126,353,78,Idli & Sambar,Curd Rice,Roti & Paneer Curry,Boiled Eggs
Female,23,157,96,Ectomorph,Maintenance,2438,173,304,67,Oats with Milk,"Roti, Sabzi & Dal",Fish Curry with Rice,Boiled Eggs
Female,24,178,96,Endomorph,Maintenance,2453,157,306,68,Idli & Sambar,"Rice, Dal & Veg Curry",Roti & Paneer Curry,Boiled Eggs
Male,28,165,83,Ectomorph,Fat Loss,2127,149,265,59,Paneer Paratha,Curd Rice,Grilled Chicken & Veggies,Peanut Chaat
Male,29,190,92,Mesomorph,Maintenance,1859,187,232,51,Oats with Milk,Curd Rice,Vegetable Stir Fry,Peanut Chaat
Female,18,163,63,Mesomorph,Fat Loss,1928,122,241,53,Poha,Chicken Curry with Rice,Khichdi,Boiled Eggs
Male,47,157,66,Endomorph,Maintenance,2880,143,360,80,Vegetable Upma,"Roti, Sabzi & Dal",Fish Curry with Rice,Protein Shake
Female,55,157,72,Mesomorph,Maintenance,2153,150,269,59,Vegetable Upma,"Roti, Sabzi & Dal",Vegetable Stir Fry,Fruit Bowl
Male,38,157,65,Mesomorph,Lean Bulk,2174,118,271,60,Oats with Milk,"Roti, Sabzi & Dal",Fish Curry with Rice,Peanut Chaat
Male,54,174,77,Ectomorph,Maintenance,2900,155,362,80,Oats with Milk,"Roti, Sabzi & Dal",Grilled Chicken & Veggies,Peanut Chaat
Female,26,161,70,Mesomorph,Fat Loss,1909,148,238,53,Idli & Sambar,Curd Rice,Grilled Chicken & Veggies,Roasted Chana
Female,53,182,91,Mesomorph,Maintenance,2807,168,350,77,Paneer Paratha,Curd Rice,Grilled Chicken & Veggies,Fruit Bowl
Male,32,168,52,Mesomorph,Lean Bulk,2901,92,362,80,Paneer Paratha,"Roti, Sabzi & Dal",Fish Curry with Rice,Protein Shake
Male,54,157,67,Endomorph,Maintenance,2910,140,363,80,Idli & Sambar,Curd Rice,Vegetable Stir Fry,Roasted Chana
Female,24,165,69,Ectomorph,Maintenance,2338,124,292,64,Idli & Sambar,Curd Rice,Roti & Paneer Curry,Roasted Chana
Male,55,172,95,Endomorph,Fat Loss,2676,161,334,74,Oats with Milk,Chicken Curry with Rice,Grilled Chicken & Veggies,Fruit Bowl
Female,52,167,88,Endomorph,Lean Bulk,2462,192,307,68,Vegetable Upma,Rajma Chawal,Vegetable Stir Fry,Boiled Eggs
Male,26,176,53,Mesomorph,Fat Loss,2059,107,257,57,Oats with Milk,Chicken Curry with Rice,Grilled Chicken & Veggies,Boiled Eggs
Male,43,181,59,Endomorph,Fat Loss,2350,116,293,65,Paneer Paratha,Curd Rice,Roti & Paneer Curry,Fruit Bowl
Female,50,167,94,Mesomorph,Maintenance,2799,168,349,77,Idli & Sambar,"Rice, Dal & Veg Curry",Fish Curry with Rice,Boiled Eggs
Male,52,175,63,Mesomorph,Lean Bulk,2813,110,351,78,Vegetable Upma,Rajma Chawal,Vegetable Stir Fry,Protein Shake
Male,54,181,100,Mesomorph,Fat Loss,1899,162,237,52,Paneer Paratha,"Rice, Dal & Veg Curry",Roti & Paneer Curry,Roasted Chana
Female,47,150,77,Ectomorph,Fat Loss,2070,163,258,57,Vegetable Upma,Chicken Curry with Rice,Khichdi,Fruit Bowl
Female,34,155,73,Endomorph,Fat Loss,2138,119,267,59,Vegetable Upma,Chicken Curry with Rice,Fish Curry with Rice,Fruit Bowl
Male,18,163,80,Ectomorph,Lean Bulk,2263,152,282,62,Paneer Paratha,"Rice, Dal & Veg Curry",Roti & Paneer Curry,Boiled Eggs
Male,45,158,80,Ectomorph,Lean Bulk,2584,132,323,71,Idli & Sambar,"Rice, Dal & Veg Curry",Khichdi,Boiled Eggs
Female,26,174,99,Ectomorph,Fat Loss,2092,162,261,58,Poha,"Rice, Dal & Veg Curry",Vegetable Stir Fry,Roasted Chana
Female,40,163,90,Endomorph,Lean Bulk,2643,177,330,73,Paneer Paratha,Chicken Curry with Rice,Roti & Paneer Curry,Fruit Bowl
Male,25,187,96,Mesomorph,Maintenance,2679,171,334,74,Oats with Milk,Chicken Curry with Rice,Khichdi,Fruit Bowl
Male,53,188,88,Endomorph,Fat Loss,2383,181,297,66,Idli & Sambar,Rajma Chawal,Grilled Chicken & Veggies,Protein Shake
Male,43,168,91,Ectomorph,Lean Bulk,2813,166,351,78,Oats with Milk,Curd Rice,Vegetable Stir Fry,Fruit Bowl
Male,41,170,58,Mesomorph,Fat Loss,2661,105,332,73,Oats with Milk,Curd Rice,Roti & Paneer Curry,Fruit Bowl
Male,18,166,63,Ectomorph,Lean Bulk,2615,119,326,72,Poha,Curd Rice,Fish Curry with Rice,Peanut Chaat
Male,52,184,89,Ectomorph,Maintenance,1971,158,246,54,Poha,Chicken Curry with Rice,Grilled Chicken & Veggies,Protein Shake
Female,43,187,90,Endomorph,Fat Loss,1935,160,241,53,Paneer Paratha,Chicken Curry with Rice,Roti & Paneer Curry,Roasted Chana
Male,45,157,79,Endomorph,Fat Loss,1912,141,239,53,Oats with Milk,"Rice, Dal & Veg Curry",Roti & Paneer Curry,Roasted Chana
Male,28,181,72,Endomorph,Fat Loss,2330,122,291,64,Oats with Milk,Rajma Chawal,Roti & Paneer Curry,Fruit Bowl
Female,45,167,83,Ectomorph,Maintenance,2980,164,372,82,Paneer Paratha,Curd Rice,Vegetable Stir Fry,Boiled Eggs
Male,49,186,60,Mesomorph,Lean Bulk,2322,123,290,64,Poha,"Rice, Dal & Veg Curry",Grilled Chicken & Veggies,Protein Shake
Male,20,150,65,Ectomorph,Maintenance,2545,118,318,70,Oats with Milk,Chicken Curry with Rice,Roti & Paneer Curry,Protein Shake
Female,32,170,65,Mesomorph,Fat Loss,2455,114,306,68,Idli & Sambar,"Roti, Sabzi & Dal",Khichdi,Fruit Bowl
Male,29,164,83,Ectomorph,Maintenance,1941,176,242,53,Vegetable Upma,Rajma Chawal,Khichdi,Fruit Bowl
Female,18,173,62,Mesomorph,Fat Loss,2422,126,302,67,Oats with Milk,Curd Rice,Khichdi,Protein Shake
Female,30,184,98,Ectomorph,Lean Bulk,1813,211,226,50,Idli & Sambar,Chicken Curry with Rice,Vegetable Stir Fry,Boiled Eggs
Male,39,150,98,Endomorph,Maintenance,2429,162,303,67,Poha,Chicken Curry with Rice,Fish Curry with Rice,Peanut Chaat
Male,27,167,55,Ectomorph,Lean Bulk,2864,101,358,79,Vegetable Upma,Curd Rice,Roti & Paneer Curry,Protein Shake
Male,50,158,90,Mesomorph,Lean Bulk,2962,147,370,82,Oats with Milk,Chicken Curry with Rice,Khichdi,Boiled Eggs
Female,43,170,70,Mesomorph,Maintenance,2278,115,284,63,Oats with Milk,Chicken Curry with Rice,Vegetable Stir Fry,Fruit Bowl
Male,24,160,78,Mesomorph,Maintenance,2632,130,329,73,Vegetable Upma,Chicken Curry with Rice,Fish Curry with Rice,Boiled Eggs
Female,34,157,55,Ectomorph,Fat Loss,2423,115,302,67,Poha,"Rice, Dal & Veg Curry",Grilled Chicken & Veggies,Boiled Eggs
Male,23,165,72,Mesomorph,Fat Loss,1900,144,237,52,Vegetable Upma,Chicken Curry with Rice,Roti & Paneer Curry,Peanut Chaat
Female,53,185,65,Ectomorph,Maintenance,2008,135,251,55,Oats with Milk,"Rice, Dal & Veg Curry",Roti & Paneer Curry,Fruit Bowl
Male,26,162,75,Mesomorph,Fat Loss,1972,146,246,54,Vegetable Upma,"Rice, Dal & Veg Curry",Roti & Paneer Curry,Fruit Bowl
Male,46,158,55,Mesomorph,Lean Bulk,1887,119,235,52,Idli & Sambar,Chicken Curry with Rice,Vegetable Stir Fry,Peanut Chaat
Female,49,151,74,Endomorph,Maintenance,2153,134,269,59,Oats with Milk,Rajma Chawal,Khichdi,Peanut Chaat
Male,20,189,89,Endomorph,Lean Bulk,2404,169,300,66,Poha,Curd Rice,Roti & Paneer Curry,Fruit Bowl
Female,42,158,76,Ectomorph,Fat Loss,2876,132,359,79,Poha,"Rice, Dal & Veg Curry",Fish Curry with Rice,Boiled Eggs
Female,52,181,72,Endomorph,Fat Loss,2458,131,307,68,Oats with Milk,"Rice, Dal & Veg Curry",Khichdi,Protein Shake
Male,19,167,53,Mesomorph,Fat Loss,2532,109,316,70,Oats with Milk,Chicken Curry with Rice,Roti & Paneer Curry,Roasted Chana
Male,35,184,100,Endomorph,Lean Bulk,2249,194,281,62,Paneer Paratha,Rajma Chawal,Grilled Chicken & Veggies,Roasted Chana
Male,55,170,97,Endomorph,Maintenance,1857,196,232,51,Vegetable Upma,"Roti, Sabzi & Dal",Vegetable Stir Fry,Roasted Chana
Male,49,184,69,Ectomorph,Maintenance,1877,114,234,52,Oats with Milk,"Roti, Sabzi & Dal",Grilled Chicken & Veggies,Fruit Bowl
Female,18,171,89,Ectomorph,Lean Bulk,2497,180,312,69,Vegetable Upma,"Rice, Dal & Veg Curry",Roti & Paneer Curry,Roasted Chana
Male,25,183,73,Ectomorph,Maintenance,2610,142,326,72,Vegetable Upma,Rajma Chawal,Khichdi,Roasted Chana
Male,45,190,81,Endomorph,Maintenance,2156,163,269,59,Poha,"Roti, Sabzi & Dal",Khichdi,Roasted Chana
Male,42,169,96,Endomorph,Maintenance,2060,163,257,57,Idli & Sambar,"Roti, Sabzi & Dal",Fish Curry with Rice,Protein Shake
Male,29,188,70,Endomorph,Lean Bulk,2958,116,369,82,Paneer Paratha,Chicken Curry with Rice,Khichdi,Fruit Bowl
Male,40,170,60,Endomorph,Lean Bulk,2487,112,310,69,Vegetable Upma,Chicken Curry with Rice,Grilled Chicken & Veggies,Fruit Bowl
Female,34,156,96,Ectomorph,Lean Bulk,2590,178,323,71,Paneer Paratha,Chicken Curry with Rice,Fish Curry with Rice,Peanut Chaat
Female,40,184,74,Ectomorph,Maintenance,2983,147,372,82,Oats with Milk,Chicken Curry with Rice,Fish Curry with Rice,Fruit Bowl
Male,36,151,70,Mesomorph,Lean Bulk,1951,126,243,54,Paneer Paratha,Chicken Curry with Rice,Roti & Paneer Curry,Protein Shake
Male,39,188,89,Mesomorph,Fat Loss,1863,165,232,51,Oats with Milk,"Roti, Sabzi & Dal",Fish Curry with Rice,Roasted Chana
Male,24,171,63,Ectomorph,Maintenance,2934,128,366,81,Poha,Rajma Chawal,Khichdi,Boiled Eggs
Male,24,153,75,Endomorph,Fat Loss,2805,126,350,77,Vegetable Upma,"Rice, Dal & Veg Curry",Fish Curry with Rice,Fruit Bowl
Female,48,162,56,Ectomorph,Lean Bulk,2149,111,268,59,Idli & Sambar,Curd Rice,Roti & Paneer Curry,Boiled Eggs
Female,48,181,92,Mesomorph,Lean Bulk,2914,168,364,80,Vegetable Upma,Curd Rice,Khichdi,Roasted Chana
Female,20,166,78,Mesomorph,Maintenance,2263,163,282,62,Poha,"Rice, Dal & Veg Curry",Grilled Chicken & Veggies,Fruit Bowl
Male,40,184,76,Endomorph,Lean Bulk,2933,124,366,81,Paneer Paratha,"Roti, Sabzi & Dal",Fish Curry with Rice,Protein Shake
Female,54,165,80,Mesomorph,Lean Bulk,2608,171,326,72,Idli & Sambar,"Roti, Sabzi & Dal",Vegetable Stir Fry,Protein Shake
Male,25,178,61,Ectomorph,Lean Bulk,2194,102,274,60,Paneer Paratha,"Rice, Dal & Veg Curry",Fish Curry with Rice,Roasted Chana
Male,34,170,96,Ectomorph,Lean Bulk,2594,185,324,72,Poha,Rajma Chawal,Khichdi,Protein Shake
Female,18,189,87,Endomorph,Maintenance,2030,160,253,56,Oats with Milk,"Roti, Sabzi & Dal",Vegetable Stir Fry,Protein Shake
Male,24,186,99,Ectomorph,Maintenance,2896,210,362,80,Paneer Paratha,Rajma Chawal,Fish Curry with Rice,Peanut Chaat
Female,20,161,67,Mesomorph,Lean Bulk,2622,108,327,72,Vegetable Upma,Chicken Curry with Rice,Roti & Paneer Curry,Peanut Chaat
Female,41,151,71,Mesomorph,Maintenance,2374,149,296,65,Idli & Sambar,Chicken Curry with Rice,Grilled Chicken & Veggies,Boiled Eggs
Female,38,167,96,Mesomorph,Fat Loss,1982,164,247,55,Oats with Milk,Curd Rice,Fish Curry with Rice,Protein Shake
Female,21,182,100,Ectomorph,Lean Bulk,2437,202,304,67,Paneer Paratha,Chicken Curry with Rice,Vegetable Stir Fry,Protein Shake
Male,29,162,62,Ectomorph,Lean Bulk,1867,116,233,51,Vegetable Upma,Chicken Curry with Rice,Khichdi,Boiled Eggs
Female,50,175,90,Ectomorph,Fat Loss,1862,157,232,51,Paneer Paratha,"Roti, Sabzi & Dal",Fish Curry with Rice,Roasted Chana
Female,55,185,72,Mesomorph,Lean Bulk,2329,147,291,64,Idli & Sambar,Rajma Chawal,Roti & Paneer Curry,Peanut Chaat
Male,28,186,99,Ectomorph,Lean Bulk,2261,198,282,62,Vegetable Upma,Curd Rice,Vegetable Stir Fry,Fruit Bowl
Male,48,158,91,Ectomorph,Fat Loss,1817,157,227,50,Poha,Rajma Chawal,Khichdi,Peanut Chaat
Female,40,179,66,Ectomorph,Maintenance,2418,132,302,67,Poha,Curd Rice,Vegetable Stir Fry,Fruit Bowl
Male,50,173,85,Endomorph,Fat Loss,2378,151,297,66,Idli & Sambar,Curd Rice,Roti & Paneer Curry,Boiled Eggs
Female,38,167,66,Endomorph,Fat Loss,2411,113,301,66,Poha,Chicken Curry with Rice,Roti & Paneer Curry,Protein Shake
Female,38,158,96,Ectomorph,Fat Loss,2818,211,352,78,Vegetable Upma,Curd Rice,Fish Curry with Rice,Peanut Chaat
Male,55,186,62,Mesomorph,Fat Loss,2255,124,281,62,Paneer Paratha,Rajma Chawal,Vegetable Stir Fry,Boiled Eggs
Male,53,161,68,Ectomorph,Maintenance,2062,139,257,57,Poha,Chicken Curry with Rice,Khichdi,Fruit Bowl
Male,40,164,97,Mesomorph,Maintenance,2478,176,309,68,Poha,Rajma Chawal,Fish Curry with Rice,Fruit Bowl
Female,21,190,87,Endomorph,Fat Loss,1945,163,243,54,Oats with Milk,"Roti, Sabzi & Dal",Roti & Paneer Curry,Peanut Chaat
Female,44,153,59,Ectomorph,Lean Bulk,2501,108,312,69,Poha,Curd Rice,Grilled Chicken & Veggies,Boiled Eggs
Male,23,181,71,Endomorph,Lean Bulk,2441,140,305,67,Idli & Sambar,Curd Rice,Khichdi,Roasted Chana
Male,54,160,81,Ectomorph,Lean Bulk,2688,160,336,74,Paneer Paratha,Curd Rice,Fish Curry with Rice,Peanut Chaat
Male,20,184,62,Endomorph,Maintenance,1828,132,228,50,Poha,Chicken Curry with Rice,Roti & Paneer Curry,Fruit Bowl
Male,32,172,69,Ectomorph,Lean Bulk,2585,131,323,71,Vegetable Upma,Chicken Curry with Rice,Roti & Paneer Curry,Fruit Bowl
Female,36,179,96,Endomorph,Fat Loss,2873,173,359,79,Oats with Milk,Rajma Chawal,Fish Curry with Rice,Boiled Eggs
Male,28,175,51,Ectomorph,Lean Bulk,2068,88,258,57,Idli & Sambar,"Roti, Sabzi & Dal",Vegetable Stir Fry,Roasted Chana
Male,41,152,74,Endomorph,Maintenance,2895,146,361,80,Poha,"Rice, Dal & Veg Curry",Roti & Paneer Curry,Fruit Bowl
Male,25,176,78,Mesomorph,Lean Bulk,2920,136,365,81,Oats with Milk,Chicken Curry with Rice,Roti & Paneer Curry,Boiled Eggs
Female,24,183,67,Endomorph,Fat Loss,2080,124,260,57,Idli & Sambar,"Roti, Sabzi & Dal",Vegetable Stir Fry,Fruit Bowl
Female,25,156,81,Ectomorph,Fat Loss,2209,167,276,61,Poha,Chicken Curry with Rice,Khichdi,Peanut Chaat
Female,28,152,85,Mesomorph,Lean Bulk,2784,152,348,77,Idli & Sambar,"Rice, Dal & Veg Curry",Roti & Paneer Curry,Fruit Bowl
Female,27,155,99,Endomorph,Lean Bulk,2007,212,250,55,Oats with Milk,Curd Rice,Khichdi,Boiled Eggs
Female,21,156,61,Ectomorph,Maintenance,2537,126,317,70,Vegetable Upma,Curd Rice,Roti & Paneer Curry,Fruit Bowl
Male,18,158,92,Endomorph,Lean Bulk,2473,166,309,68,Paneer Paratha,"Roti, Sabzi & Dal",Khichdi,Fruit Bowl
Female,39,161,57,Mesomorph,Maintenance,2734,100,341,75,Paneer Paratha,Curd Rice,Fish Curry with Rice,Roasted Chana
Male,26,153,60,Ectomorph,Maintenance,2788,124,348,77,Paneer Paratha,Chicken Curry with Rice,Vegetable Stir Fry,Peanut Chaat
Female,19,158,80,Mesomorph,Lean Bulk,2642,149,330,73,Idli & Sambar,Rajma Chawal,Khichdi,Fruit Bowl
Male,39,183,83,Endomorph,Fat Loss,1995,154,249,55,Oats with Milk,Curd Rice,Khichdi,Peanut Chaat
Male,53,189,53,Ectomorph,Fat Loss,2121,100,265,58,Paneer Paratha,Curd Rice,Grilled Chicken & Veggies,Fruit Bowl
Female,38,165,71,Mesomorph,Lean Bulk,2838,123,354,78,Paneer Paratha,Curd Rice,Grilled Chicken & Veggies,Fruit Bowl
Female,46,186,78,Ectomorph,Maintenance,2715,139,339,75,Paneer Paratha,"Rice, Dal & Veg Curry",Roti & Paneer Curry,Peanut Chaat
Female,20,185,85,Ectomorph,Lean Bulk,2423,181,302,67,Poha,Chicken Curry with Rice,Fish Curry with Rice,Boiled Eggs
Female,21,164,79,Mesomorph,Fat Loss,2768,160,346,76,Vegetable Upma,Curd Rice,Roti & Paneer Curry,Fruit Bowl
Male,18,171,72,Endomorph,Maintenance,2921,137,365,81,Idli & Sambar,"Rice, Dal & Veg Curry",Grilled Chicken & Veggies,Peanut Chaat
Male,44,156,66,Endomorph,Lean Bulk,2184,110,273,60,Paneer Paratha,Chicken Curry with Rice,Fish Curry with Rice,Roasted Chana
Female,24,176,52,Endomorph,Fat Loss,2052,107,256,57,Paneer Paratha,Curd Rice,Vegetable Stir Fry,Protein Shake
Male,49,150,83,Endomorph,Lean Bulk,2933,179,366,81,Poha,Curd Rice,Vegetable Stir Fry,Roasted Chana
Male,26,156,74,Endomorph,Fat Loss,2459,140,307,68,Paneer Paratha,Curd Rice,Vegetable Stir Fry,Roasted Chana
Female,43,171,68,Mesomorph,Lean Bulk,2082,125,260,57,Poha,Rajma Chawal,Vegetable Stir Fry,Boiled Eggs
Male,30,163,89,Endomorph,Maintenance,2507,191,313,69,Oats with Milk,Chicken Curry with Rice,Vegetable Stir Fry,Protein Shake
Female,25,172,85,Mesomorph,Fat Loss,2968,184,371,82,Paneer Paratha,"Roti, Sabzi & Dal",Khichdi,Peanut Chaat
Male,51,156,51,Mesomorph,Lean Bulk,1908,102,238,53,Oats with Milk,Rajma Chawal,Grilled Chicken & Veggies,Boiled Eggs
Female,27,153,94,Mesomorph,Lean Bulk,2908,152,363,80,Paneer Paratha,"Rice, Dal & Veg Curry",Vegetable Stir Fry,Protein Shake
Male,53,174,65,Endomorph,Fat Loss,2389,131,298,66,Idli & Sambar,Curd Rice,Fish Curry with Rice,Peanut Chaat
Female,53,153,50,Endomorph,Maintenance,2215,98,276,61,Paneer Paratha,Chicken Curry with Rice,Khichdi,Protein Shake
Male,30,168,78,Ectomorph,Fat Loss,1952,133,244,54,Oats with Milk,"Roti, Sabzi & Dal",Roti & Paneer Curry,Peanut Chaat
Male,45,167,85,Mesomorph,Lean Bulk,2129,165,266,59,Vegetable Upma,"Rice, Dal & Veg Curry",Khichdi,Peanut Chaat
Male,20,159,70,Endomorph,Lean Bulk,2416,132,302,67,Poha,"Roti, Sabzi & Dal",Khichdi,Fruit Bowl
Female,51,164,61,Endomorph,Lean Bulk,2834,103,354,78,Poha,"Roti, Sabzi & Dal",Fish Curry with Rice,Fruit Bowl
Female,32,163,92,Mesomorph,Maintenance,2538,163,317,70,Poha,"Roti, Sabzi & Dal",Fish Curry with Rice,Protein Shake
Male,25,172,78,Ectomorph,Fat Loss,2299,169,287,63,Vegetable Upma,Curd Rice,Roti & Paneer Curry,Peanut Chaat
Female,52,168,51,Endomorph,Maintenance,2853,106,356,79,Paneer Paratha,Curd Rice,Roti & Paneer Curry,Boiled Eggs
Male,38,182,55,Ectomorph,Lean Bulk,2901,105,362,80,Idli & Sambar,Chicken Curry with Rice,Grilled Chicken & Veggies,Peanut Chaat
Male,31,184,94,Endomorph,Maintenance,1947,192,243,54,Oats with Milk,"Rice, Dal & Veg Curry",Fish Curry with Rice,Boiled Eggs
Male,23,154,53,Ectomorph,Maintenance,2942,87,367,81,Oats with Milk,Rajma Chawal,Fish Curry with Rice,Peanut Chaat
Female,43,177,70,Ectomorph,Maintenance,2042,134,255,56,Poha,"Rice, Dal & Veg Curry",Vegetable Stir Fry,Fruit Bowl
Male,40,182,56,Mesomorph,Fat Loss,2417,109,302,67,Vegetable Upma,Curd Rice,Fish Curry with Rice,Peanut Chaat
Male,48,160,84,Ectomorph,Lean Bulk,2600,174,325,72,Poha,Rajma Chawal,Grilled Chicken & Veggies,Boiled Eggs
